Team,Season,Final Position,Number of Players,Medium Age,Foreigners,Medium Market Value,Total Market Value
Manchester City,2011,1,36,25.4,24,113.85m,498.60m
Manchester United,2011,2,41,24.6,24,9.86m,404.10m
Chelsea FC,2011,6,32,26.7,21,11.73m,375.50m
Arsenal FC,2011,3,45,24.2,35,8.05m,362.43m
Tottenham Hotspur,2011,4,50,25.2,27,6.47m,323.50m
Liverpool FC,2011,8,31,25.6,18,7.64m,236.90m
Everton FC,2011,7,36,26.3,25,4.72m,169.95m
Newcastle United,2011,5,37,24.8,21,4.37m,161.70m
Sunderland AFC,2011,13,36,25.5,20,3.51m,126.50m
Aston Villa,2011,16,37,25.6,23,3.34m,123.50m
Fulham FC,2011,9,36,27.1,28,2.78m,100.00m
Bolton Wanderers,2011,18,38,25.9,19,2.37m,90.05m
Stoke City,2011,14,32,28.5,16,2.55m,81.65m
Queens Park Rangers,2011,17,48,27.6,25,1.70m,81.38m
Blackburn Rovers,2011,19,37,25.4,26,2.16m,80.00m
Wolverhampton Wanderers,2011,20,37,25,24,2.11m,78.05m
Swansea City,2011,11,34,25.5,21,2.22m,75.60m
Wigan Athletic,2011,15,30,26.2,22,2.48m,74.25m
West Bromwich Albion,2011,10,36,26,24,1.93m,69.55m
Norwich City,2011,12,29,25.5,12,2.03m,58.75m
