Team,Season,Final Position,Number of Players,Medium Age,Foreigners,Medium Market Value,Total Market Value
Chelsea FC,2016,1,49,24.8,41,14.01m,686.70m
Manchester City,2016,3,35,26.4,29,16.47m,576.50m
Tottenham Hotspur,2016,2,38,23.7,20,14.31m,543.65m
Arsenal FC,2016,5,42,24.7,26,12.90m,542.00m
Manchester United,2016,6,42,24.4,25,12.65m,531.45m
Liverpool FC,2016,4,38,24.4,24,11.20m,425.65m
Everton FC,2016,7,39,25.9,25,7.98m,311.25m
West Ham United,2016,11,44,24.7,28,6.21m,273.05m
Southampton FC,2016,8,36,25.3,19,7.33m,263.75m
Crystal Palace,2016,14,45,26.1,26,5.08m,228.43m
Leicester City,2016,12,31,26.6,22,7.05m,218.65m
Stoke City,2016,13,34,27.1,27,5.47m,186.00m
Watford FC,2016,17,46,26.8,36,3.82m,175.65m
Swansea City,2016,16,37,26.9,28,4.25m,157.10m
Hull City,2016,18,42,26,23,3.23m,135.85m
Sunderland AFC,2016,20,42,25.3,27,3.14m,132.00m
AFC Bournemouth,2016,9,41,24.4,16,3.21m,131.60m
Middlesbrough FC,2016,19,35,27.3,21,3.68m,128.80m
West Bromwich Albion,2016,10,30,27.3,18,4.11m,123.20m
Burnley FC,2016,16,36,26.6,15,2.98m,107.18m
