Team,Season,Final Position,Number of Players,Medium Age,Foreigners,Medium Market Value,Total Market Value
Chelsea FC,2013,3,49,24.7,40,11.92m,584.20m
Manchester City,2013,1,27,26.8,21,16.88m,455.80m
Manchester United,2013,7,37,25.5,24,10.88m,402.55m
Arsenal FC,2013,4,41,24.5,34,9.41m,385.75m
Liverpool FC,2013,2,36,24.1,25,8.77m,315.75m
Tottenham Hotspur,2013,6,41,23.8,22,7.05m,288.95m
Everton FC,2013,5,34,26,23,6.18m,210.00m
Newcastle United,2013,10,37,24.8,27,4.66m,172.30m
Southampton FC,2013,8,35,24.2,17,3.76m,131.50m
Swansea City,2013,12,36,25.7,28,3.58m,128.93m
Sunderland AFC,2013,14,39,25.6,28,3.13m,122.00m
Fulham FC,2013,19,48,25.9,36,2.35m,112.65m
West Ham United,2013,13,45,25.9,26,2.43m,109.50m
Aston Villa,2013,15,36,24.7,22,3.04m,109.50m
Stoke City,2013,9,33,26.5,23,3.17m,104.70m
West Bromwich Albion,2013,17,33,27.2,24,2.75m,90.80m
Norwich City,2013,18,32,26.6,18,2.79m,89.30m
Cardiff City,2013,20,42,25.3,26,2.09m,87.90m
Crystal Palace,2013,11,45,26.6,25,1.53m,68.70m
Hull City,2013,16,34,27.2,23,2.00m,68.15m
