Team,Season,Final Position,Number of Players,Medium Age,Foreigners,Medium Market Value,Total Market Value
Manchester City,2020,1,36,24.9,23,29.01m,1.04bn
Liverpool FC,2020,3,43,24.4,28,22.55m,969.65m
Chelsea FC,2020,4,39,25.2,23,22.80m,889.20m
Manchester United,2020,2,39,24.9,24,19.74m,770.05m
Tottenham Hotspur,2020,7,41,24.6,23,17.16m,703.50m
Arsenal FC,2020,8,42,24.4,27,14.74m,619.25m
Everton FC,2020,10,44,24.7,26,11.62m,511.20m
Leicester City,2020,5,40,25.3,26,12.77m,510.70m
Wolverhampton Wanderers,2020,13,38,23.9,32,11.85m,450.30m
Aston Villa,2020,11,53,23.3,24,8.13m,430.75m
West Ham United,2020,6,39,26.5,23,8.59m,334.90m
Brighton & Hove Albion,2020,16,46,24.3,30,6.31m,290.40m
Southampton FC,2020,15,39,24.5,21,7.25m,282.80m
Newcastle United,2020,12,33,26.9,18,7.74m,255.35m
Fulham FC,2020,18,38,26.4,30,6.31m,239.75m
Leeds United,2020,9,39,24.5,23,6.11m,238.10m
Crystal Palace,2020,14,36,27.7,18,5.38m,193.85m
Sheffield United,2020,20,40,24.9,16,3.75m,149.85m
West Bromwich Albion,2020,19,43,26.1,17,3.28m,141.15m
Burnley FC,2020,17,32,26.6,11,4.13m,132.30m
