Team,Season,Final Position,Number of Players,Medium Age,Foreigners,Medium Market Value,Total Market Value
Manchester City,2019,2,34,25.1,23,30.84m,1.05bn
Liverpool FC,2019,1,56,23.3,32,17.90m,1.00bn
Tottenham Hotspur,2019,6,36,24.8,22,22.41m,806.80m
Chelsea FC,2019,4,36,24.1,23,19.61m,705.85m
Manchester United,2019,3,43,23.9,25,15.59m,670.45m
Arsenal FC,2019,8,38,24.3,24,15.99m,607.65m
Everton FC,2019,12,35,26,21,12.02m,420.55m
Leicester City,2019,5,32,25.9,19,12.85m,411.10m
Wolverhampton Wanderers,2019,7,44,23.1,30,7.28m,320.33m
West Ham United,2019,16,38,26.5,25,7.99m,303.60m
AFC Bournemouth,2019,18,39,24.8,17,6.98m,272.18m
Newcastle United,2019,13,41,26,23,6.16m,252.48m
Aston Villa,2019,17,38,25.7,22,6.10m,231.70m
Southampton FC,2019,11,36,24.4,19,5.85m,210.75m
Brighton & Hove Albion,2019,15,45,24.7,29,4.46m,200.78m
Watford FC,2019,19,43,25.7,28,4.64m,199.60m
Crystal Palace,2019,14,33,26.8,18,5.74m,189.33m
Burnley FC,2019,10,35,26.3,12,4.68m,163.88m
Norwich City,2019,20,38,25.5,25,3.82m,145.33m
Sheffield United,2019,9,34,27.3,16,4.08m,138.60m
