Team,Season,Final Position,Number of Players,Medium Age,Foreigners,Medium Market Value,Total Market Value
Manchester City,2021/22,1,39,24.3,23,€25.74m,€1.00bn
Liverpool FC,2021/22,2,49,24,28,€18.75m,€918.90m
Chelsea FC,2021/22,3,44,25.1,25,€20.78m,€914.50m
Manchester United,2021/22,6,43,25.5,28,€17.89m,€769.15m
Tottenham Hotspur,2021/22,4,45,23.5,26,€15.32m,€689.35m
Arsenal FC,2021/22,5,41,23.4,25,€14.95m,€613.05m
Leicester City,2021/22,8,40,25.1,24,€13.16m,€526.55m
Aston Villa,2021/22,14,44,24.2,21,€11.09m,€487.75m
Everton FC,2021/22,16,42,25.5,23,€11.41m,€479.05m
Wolverhampton Wanderers,2021/22,10,38,24.4,30,€9.92m,€376.95m
West Ham United,2021/22,7,36,26,20,€9.86m,€354.90m
Brighton & Hove Albion,2021/22,9,43,24.1,31,€7.40m,€318.00m
Newcastle United,2021/22,11,34,27.4,18,€9.23m,€313.90m
Leeds United,2021/22,17,35,23.5,19,€8.56m,€299.45m
Southampton FC,2021/22,15,33,25.1,18,€8.31m,€274.30m
Brentford FC,2021/22,13,38,24.3,26,€7.19m,€273.30m
Crystal Palace,2021/22,12,33,25.9,16,€8.21m,€271.05m
Norwich City,2021/22,20,45,24.2,29,€3.63m,€163.20m
Watford FC,2021/22,19,47,25.8,36,€3.32m,€156.20m
Burnley FC,2021/22,18,35,27.3,16,€3.94m,€138.05m
