Team,Season,Final Position,Number of Players,Medium Age,Foreigners,Medium Market Value,Total Market Value
Manchester City,2012/13,2,41,24.8,29,€12.25m,€502.10m
Manchester United,2012/13,1,41,24.7,24,€11.16m,€457.50m
Chelsea FC,2012/13,3,34,25.9,25,€13.36m,€454.25m
Arsenal FC,2012/13,4,42,24,35,€7.07m,€296.90m
Tottenham Hotspur,2012/13,5,41,25.5,21,€7.24m,€296.80m
Liverpool FC,2012/13,7,41,23.5,21,€6.73m,€276.10m
Newcastle United,2012/13,16,39,24.6,26,€5.17m,€201.75m
Everton FC,2012/13,6,29,25.7,20,€4.82m,€139.75m
Sunderland AFC,2012/13,17,37,25.3,19,€3.62m,€133.90m
Queens Park Rangers,2012/13,20,38,28.7,22,€3.16m,€120.05m
Fulham FC,2012/13,12,37,27.4,32,€3.00m,€110.85m
Aston Villa,2012/13,15,33,24.7,21,€3.35m,€110.50m
Stoke City,2012/13,13,30,28.3,18,€3.47m,€104.05m
West Ham United,2012/13,10,39,25.6,20,€2.64m,€103.00m
Swansea City,2012/13,9,33,26.2,22,€3.10m,€102.25m
West Bromwich Albion,2012/13,8,32,26,23,€2.91m,€93.00m
Wigan Athletic,2012/13,18,37,25.8,29,€2.47m,€91.55m
Southampton FC,2012/13,14,40,24.8,16,€2.08m,€83.05m
Norwich City,2012/13,11,36,25.9,16,€2.03m,€73.25m
Reading FC,2012/13,19,35,26.3,25,€1.32m,€46.25m
